,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image number,B0,B1,B2,B3,B4,B5,B6,B7,Res18,Res34,Res50,Res101,Res152,Average of bias %age for each test image
44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.61,-2.78,1.04,-0.79,0.01,-0.08,-0.26,0.61,1.26,-0.05,-0.37,-0.286,-0.369409518,43,0.61,2.78,1.04,0.79,0.01,0.08,0.26,0.61,1.26,0.05,0.37,0.286,0.37,0.66
45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.77,-2.16,-2.61,-2.31,-2.17,-2.44,-2.31,-2.74,-2.65,-2.94,-2.556,-2.245585502,44,2.4,2.77,2.16,2.61,2.31,2.17,2.44,2.31,2.74,2.65,2.94,2.556,2.25,2.48
46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,0.65,-0.78,-1.3,-1.17,-0.8,-1.01,-1.1,-1.58,-1.47,-0.63,-2.027,-1.502813299,45,1.3,0.65,0.78,1.3,1.17,0.8,1.01,1.1,1.58,1.47,0.63,2.027,1.5,1.18
47,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,3.53,-4.01,-3.51,-4.09,-3.7,-3.15,-3.73,-4.17,-4.73,-3.65,-5.129,-4.53593227,46,4.21,3.53,4.01,3.51,4.09,3.7,3.15,3.73,4.17,4.73,3.65,5.129,4.54,4.01
48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,3.11,-8.36,-3.61,-3.99,-3.45,-3.97,-3.68,-9.18,-4.81,-5.01,-4.661,-4.926116071,47,5.25,3.11,8.36,3.61,3.99,3.45,3.97,3.68,9.18,4.81,5.01,4.661,4.93,4.92
49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,2.55,-3.33,-1.71,-2.98,-2.78,-2.26,-3.29,-3.11,-3.67,-3.38,-3.785,-3.440653091,48,3.62,2.55,3.33,1.71,2.98,2.78,2.26,3.29,3.11,3.67,3.38,3.785,3.44,3.07
50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,1.44,-0.97,-1.11,-1.19,-0.84,-0.8,-0.95,-2.11,-1.3,-1.39,-0.994,-1.370807747,49,1.14,1.44,0.97,1.11,1.19,0.84,0.8,0.95,2.11,1.3,1.39,0.994,1.37,1.2
51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,1.11,-1.64,-0.92,-1.42,-0.89,-0.33,-1.06,-1.99,-2.96,-1.65,-3.352,-4.540983607,50,1.49,1.11,1.64,0.92,1.42,0.89,0.33,1.06,1.99,2.96,1.65,3.352,4.54,1.8
52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,0.56,-1.14,-0.45,-0.93,-0.77,-0.12,-1.01,-1.1,-1.66,-0.45,-1.791,-1.873623398,51,1.61,0.56,1.14,0.45,0.93,0.77,0.12,1.01,1.1,1.66,0.45,1.791,1.87,1.04
53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,4.25,-3.77,-3.85,-3.84,-3.13,-3.26,-3.54,-3.92,-3.91,-3.01,-4.139,-3.422733078,52,3.62,4.25,3.77,3.85,3.84,3.13,3.26,3.54,3.92,3.91,3.01,4.139,3.42,3.67
54,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,3.42,-3.6,-2.97,-2.83,-2.91,-3.27,-2.88,-1.24,-3.15,-3.22,-3.206,-3.181957187,53,3.23,3.42,3.6,2.97,2.83,2.91,3.27,2.88,1.24,3.15,3.22,3.206,3.18,3.01
55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,2.08,-1.81,-2.39,-2,-1.63,-1.92,-2.01,-1.79,-1.96,-1.93,-2.56,-1.907358605,54,1.87,2.08,1.81,2.39,2,1.63,1.92,2.01,1.79,1.96,1.93,2.56,1.91,1.99
56,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,3.04,-2.96,-2.49,-2.36,-2.85,-2.76,-2.08,2.75,-1.99,-0.86,-1.751,-1.927369353,55,1.42,3.04,2.96,2.49,2.36,2.85,2.76,2.08,2.75,1.99,0.86,1.751,1.93,2.25
57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,3.96,-2.51,-3.51,-5.2,-4.79,-3.07,-1.8,0.27,-1.93,-1.33,-2.489,-1.94769491,56,3.87,3.96,2.51,3.51,5.2,4.79,3.07,1.8,0.27,1.93,1.33,2.489,1.95,2.82
58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,0.49,-0.69,-2.14,-0.48,-1.16,-0.7,-0.48,1.36,2.07,-0.91,-1.04,-0.113099499,57,1.13,0.49,0.69,2.14,0.48,1.16,0.7,0.48,1.36,2.07,0.91,1.04,0.11,0.98
59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.63,-2.07,-0.34,-1.36,-0.8,-1.44,-1.05,-0.48,-1.07,-1.44,-2.147,-0.808681926,58,1.75,1.63,2.07,0.34,1.36,0.8,1.44,1.05,0.48,1.07,1.44,2.147,0.81,1.26
60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Count number of cases for each backbone which have bais %age more than 3.5,8,9,8,7,8,6,3,5,9,8,8,9,5,
62,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average of bais %age for each backbone,1.746610169,1.92779661,1.854745763,1.698474576,1.880677966,1.697966102,1.682542373,1.755084746,1.990677966,1.855423729,2.047118644,2.051338983,1.773396144,
63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
